attribute,setting,seed,post_yield,class,class_label,count,median,q90
eps_x,0.0001,1,False,reversible_elastic,reversible elastic,0,,
eps_x,0.0001,1,False,reversible_plastic,reversible plastic,342,0.0016232339225,0.06917080842390005
eps_x,0.0001,1,False,irreversible,irreversible,2098,0.0797372083805,0.17960608138700002
eps_x,0.0001,1,True,reversible_elastic,reversible elastic,0,,
eps_x,0.0001,1,True,reversible_plastic,reversible plastic,670,0.0017024129863999998,0.00310415683439
eps_x,0.0001,1,True,irreversible,irreversible,1061,0.0076439297031,0.041272242084
eps_x,0.0001,2,False,reversible_elastic,reversible elastic,0,,
eps_x,0.0001,2,False,reversible_plastic,reversible plastic,480,0.002010028863,0.014831360595500043
eps_x,0.0001,2,False,irreversible,irreversible,2554,0.061177572513999995,0.16619905021400005
eps_x,0.0001,2,True,reversible_elastic,reversible elastic,0,,
eps_x,0.0001,2,True,reversible_plastic,reversible plastic,272,0.00148095940535,0.00235374291912
eps_x,0.0001,2,True,irreversible,irreversible,428,0.00748759953085,0.0511740624089
eps_x,0.0001,3,False,reversible_elastic,reversible elastic,0,,
eps_x,0.0001,3,False,reversible_plastic,reversible plastic,508,0.002010298383,0.05273421048340001
eps_x,0.0001,3,False,irreversible,irreversible,2485,0.073739890705,0.17906348826
eps_x,0.0001,3,True,reversible_elastic,reversible elastic,0,,
eps_x,0.0001,3,True,reversible_plastic,reversible plastic,262,0.00136678824575,0.0024653020102100003
eps_x,0.0001,3,True,irreversible,irreversible,561,0.0074224711607,0.045226457498
