attribute,setting,seed,post_yield,class,class_label,count,event_count,fraction
eps_x,0.0001,1,False,reversible_plastic,reversible plastic,342,2440,0.14016393442622951
eps_x,0.0001,1,False,irreversible,irreversible,2098,2440,0.8598360655737705
eps_x,0.0001,1,True,reversible_elastic,reversible elastic,0,1731,0.0
eps_x,0.0001,1,True,reversible_plastic,reversible plastic,670,1731,0.3870595031773541
eps_x,0.0001,1,True,irreversible,irreversible,1061,1731,0.6129404968226458
eps_x,0.0001,2,False,reversible_elastic,reversible elastic,0,3034,0.0
eps_x,0.0001,2,False,reversible_plastic,reversible plastic,480,3034,0.15820698747528017
eps_x,0.0001,2,False,irreversible,irreversible,2554,3034,0.8417930125247198
eps_x,0.0001,2,True,reversible_elastic,reversible elastic,0,700,0.0
eps_x,0.0001,2,True,reversible_plastic,reversible plastic,272,700,0.38857142857142857
eps_x,0.0001,2,True,irreversible,irreversible,428,700,0.6114285714285714
eps_x,0.0001,3,False,reversible_elastic,reversible elastic,0,2993,0.0
eps_x,0.0001,3,False,reversible_plastic,reversible plastic,508,2993,0.16972936852656198
eps_x,0.0001,3,False,irreversible,irreversible,2485,2993,0.830270631473438
eps_x,0.0001,3,True,reversible_elastic,reversible elastic,0,823,0.0
eps_x,0.0001,3,True,reversible_plastic,reversible plastic,262,823,0.3183475091130012
eps_x,0.0001,3,True,irreversible,irreversible,561,823,0.6816524908869988
