attribute,setting,seed,post_yield,class,class_label,count,median,q90
load_increment,5e-05,1,False,reversible_elastic,reversible elastic,0,,
load_increment,5e-05,1,False,reversible_plastic,reversible plastic,2407,0.20825146185,0.357465404088
load_increment,5e-05,1,False,irreversible,irreversible,209,0.21116626895,0.3563442644340001
load_increment,5e-05,1,True,reversible_elastic,reversible elastic,0,,
load_increment,5e-05,1,True,reversible_plastic,reversible plastic,796,0.255795305715,0.36269342609
load_increment,5e-05,1,True,irreversible,irreversible,207,0.33131105005,0.557637019446
load_increment,5e-05,2,False,reversible_elastic,reversible elastic,0,,
load_increment,5e-05,2,False,reversible_plastic,reversible plastic,2560,0.19926497673,0.32395977331
load_increment,5e-05,2,False,irreversible,irreversible,204,0.20218945246,0.333546357257
load_increment,5e-05,2,True,reversible_elastic,reversible elastic,0,,
load_increment,5e-05,2,True,reversible_plastic,reversible plastic,561,0.30342509376,0.43753941455
load_increment,5e-05,2,True,irreversible,irreversible,163,0.34510597923,0.44800947209400005
load_increment,5e-05,3,False,reversible_elastic,reversible elastic,0,,
load_increment,5e-05,3,False,reversible_plastic,reversible plastic,2760,0.23418602369500002,0.348368597987
load_increment,5e-05,3,False,irreversible,irreversible,238,0.23292233381,0.36427300407
load_increment,5e-05,3,True,reversible_elastic,reversible elastic,0,,
load_increment,5e-05,3,True,reversible_plastic,reversible plastic,2116,0.40726697074,0.6026338419299999
load_increment,5e-05,3,True,irreversible,irreversible,203,0.43445733024,0.605976206432
load_increment,0.0001,0,False,reversible_elastic,reversible elastic,0,,
load_increment,0.0001,0,False,reversible_plastic,reversible plastic,2023,0.22545608607,0.350037071042
load_increment,0.0001,0,False,irreversible,irreversible,194,0.209823728195,0.3264969023620002
load_increment,0.0001,0,True,reversible_elastic,reversible elastic,0,,
load_increment,0.0001,0,True,reversible_plastic,reversible plastic,235,0.29641818319,0.39324697284
load_increment,0.0001,0,True,irreversible,irreversible,151,0.4397577363,0.56591571714
load_increment,0.0001,1,False,reversible_elastic,reversible elastic,0,,
load_increment,0.0001,1,False,reversible_plastic,reversible plastic,2117,0.22237560806,0.35525352802400006
load_increment,0.0001,1,False,irreversible,irreversible,223,0.20808718947,0.3448723268800001
load_increment,0.0001,1,True,reversible_elastic,reversible elastic,0,,
load_increment,0.0001,1,True,reversible_plastic,reversible plastic,416,0.343697973485,0.44757854075000003
load_increment,0.0001,1,True,irreversible,irreversible,174,0.34587909022999996,0.461868946093
load_increment,0.0001,2,False,reversible_elastic,reversible elastic,0,,
load_increment,0.0001,2,False,reversible_plastic,reversible plastic,2404,0.20256990189000001,0.43313894726500085
