setting,rev_u_cut,method,cut,recorded_cycles,closing_count,nonclosing_count,closing_fraction,log10_gap_at_cut,between_class_variance
1e-06,0.0002833540117684935,unbinned_log_otsu,0.0002833540117684935,23644,21692,1952,0.9174420571815259,0.03653682066840602,1.1757258203931895
5e-06,0.0004583653292233264,unbinned_log_otsu,0.0004583653292233264,25218,23319,1899,0.9246966452533905,0.2284928540738549,0.9059248051795945
1e-05,0.0004871165137041288,unbinned_log_otsu,0.0004871165137041288,26674,24826,1848,0.9307190522606283,0.016893984179461974,0.8134347095357414
5e-05,0.00032774221679043137,unbinned_log_otsu,0.00032774221679043137,15720,14086,1634,0.8960559796437659,0.4311446090447162,1.3182954515397542
0.0001,0.00024184783383779068,unbinned_log_otsu,0.00024184783383779068,12704,11141,1563,0.8769678841309824,0.8357191133865278,1.5693837266393382
