load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigmaxy,avg_init_sigmaxy,avg_sigmaxy_change_from_init,avg_Pxy,nr_plastic_deformations,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,nr_red_q1_fixed,nr_red_q2_fixed,nr_red_q3_fixed,nr_red_q4_fixed,max_m3_nr,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
12,0.15011,483.51017532,0.002638965898,483.5101849,-9.5803903832e-06,0.0038680814025,2.1111727184e-08,0.0038680814792,-7.6643123272e-11,0,0,0.2084430669,8.3542509761e-07,1.7124736012e-06,1.7420522982e-06,-2.9578696965e-08,0.012112629359,0,44744,41191,19745,19320,32160,30431,32329,30080,3,3,-1,936,1781,2,0,0,1h 31m 30s,1h 31m 23.610s,5.563s,290d 57m 3s,143.76373093,125.00005135,287.3035456,-0.22395440228,250.96006475,-0.83136158782
13,0.15012,483.51282524,0.0026499200187,483.51283479,-9.5526100381e-06,0.0038681026019,2.119936015e-08,0.0038681026783,-7.6420880474e-11,0,0,0.20843904127,1.0164830944e-06,1.6647787875e-06,1.6956243288e-06,-3.0845541294e-08,0.012122615757,0,44756,41187,19745,19312,32169,30420,32332,30079,3,3,-1,872,1708,2,0,0,1h 36m 34s,1h 36m 27.686s,5.563s,290d 20h 51m 15s,143.76498094,125.00005135,287.30607813,-0.22392187041,250.95991391,-0.83129999187
14,0.15013,483.51548611,0.0026608761315,483.51549567,-9.5596305982e-06,0.0038681238889,2.1287009052e-08,0.0038681239654,-7.6477044749e-11,0,0,0.20843499827,6.9285338714e-07,1.6163731756e-06,1.64792625e-06,-3.1553074376e-08,0.012132600536,0,44769,41176,19749,19306,32179,30410,32339,30072,3,3,-1,855,1629,2,0,0,1h 42m 52s,1h 41m 17.271s,1m 33.488s,297d 14h 9s,143.76623094,125.00005135,287.30860932,-0.22389068056,250.95976295,-0.83123896897
15,0.15014,483.51815795,0.0026718329003,483.51816751,-9.5644365956e-06,0.0038681452636,2.1374663203e-08,0.0038681453401,-7.6515492727e-11,0,0,0.20843090638,3.7361474842e-07,1.56776834e-06,1.5995184819e-06,-3.1750141842e-08,0.012142567328,1,44780,41170,19747,19303,32189,30399,32338,30074,3,3,-1,947,1810,2,0,0,1h 48m 14s,1h 46m 39.266s,1m 33.488s,299d 1h 30m 51s,143.76748094,125.00005135,287.3111353,-0.22386469583,250.95961,-0.83116668046
16,0.15015,483.52084074,0.0026827930528,483.52085028,-9.5447948638e-06,0.0038681667259,2.1462344422e-08,0.0038681668023,-7.6358358872e-11,0,0,0.20842694228,7.7175090796e-07,1.5163122403e-06,1.5509115422e-06,-3.4599301838e-08,0.012152551709,1,44805,41143,19755,19297,32204,30386,32356,30054,3,3,-1,787,1540,2,0,0,1h 52m 48s,1h 51m 13.062s,1m 33.488s,296d 22h 37m 4s,143.76873094,125.00005135,287.31366501,-0.22383499211,250.95945894,-0.83111267562
17,0.15016,483.52353449,0.0026937512178,483.52354404,-9.5520286436e-06,0.0038681882759,2.1550009742e-08,0.0038681883523,-7.6416229247e-11,0,0,0.20842285681,3.6721606148e-07,1.4642125273e-06,1.4994554615e-06,-3.5242934212e-08,0.012162526382,1,44815,41135,19755,19295,32210,30380,32360,30050,3,3,-1,829,1598,2,0,0,1h 57m 33s,1h 55m 58.254s,1m 33.488s,295d 20h 25m 44s,143.76998094,125.00005135,287.31619134,-0.2238086607,250.95930801,-0.83105286183
18,0.15017,483.5262392,0.0027047105737,483.52624875,-9.5464382071e-06,0.0038682099136,2.1637684589e-08,0.00386820999,-7.6371505474e-11,0,0,0.20841878741,4.0366061226e-07,1.4125081109e-06,1.4473567389e-06,-3.4848628054e-08,0.012172510228,1,44825,41127,19757,19291,32218,30376,32364,30042,3,3,-1,887,1720,2,0,0,2h 2m 38s,2h 1m 3.066s,1m 33.488s,296d 2h 26m 37s,143.77123094,125.00005135,287.31871602,-0.22378398342,250.95915914,-0.83099168126
19,0.15018,483.52895487,0.0027156696831,483.52896442,-9.5517419254e-06,0.003868231639,2.1725357465e-08,0.0038682317154,-7.6413935075e-11,0,0,0.20841474952,6.1476823231e-07,1.3585419854e-06,1.3956522344e-06,-3.7110249067e-08,0.012182492412,1,44831,41118,19764,19287,32227,30364,32368,30041,3,3,-1,889,1725,2,0,0,2h 7m 38s,2h 6m 2.476s,1m 33.488s,296d 15m 52s,143.77248094,125.00005135,287.32124069,-0.2237593083,250.95901029,-0.83093717064
20,0.15019,483.5316815,0.0027266271074,483.53169106,-9.5598851999e-06,0.003868253452,2.1813016859e-08,0.0038682535285,-7.6479081748e-11,0,0,0.20841071045,5.4713816955e-07,1.303417469e-06,1.3416857903e-06,-3.826832135e-08,0.012192460463,1,44844,41104,19765,19287,32235,30359,32374,30032,3,3,-1,917,1758,2,0,0,2h 12m 49s,2h 11m 13.262s,1m 33.488s,296d 13h 14m 19s,143.77373094,125.00005135,287.32376363,-0.22373637095,250.95886013,-0.83088193211
21,0.1502,483.53441908,0.00273758265,483.53442863,-9.5532043929e-06,0.0038682753526,2.1900661199e-08,0.0038682754291,-7.6425635352e-11,0,0,0.20840668585,4.4026638108e-07,1.2466113163e-06,1.2865602681e-06,-3.9948951779e-08,0.012202440193,0,44855,41093,19771,19281,32240,30352,32386,30022,3,3,-1,938,1749,2,0,0,2h 17m 57s,2h 16m 21.169s,1m 33.488s,296d 21h 13m 57s,143.77498094,125.00005135,287.32628665,-0.22371335283,250.9587121,-0.83083357618
22,0.15021,483.53716761,0.002748535294,483.53717718,-9.566339827e-06,0.0038682973409,2.1988282352e-08,0.0038682974174,-7.6530718394e-11,0,0,0.20840271858,5.7733025312e-07,1.188751829e-06,1.2297515034e-06,-4.0999674372e-08,0.01221240291,1,44875,41075,19772,19278,32256,30338,32391,30015,3,3,-1,917,1762,2,0,0,2h 23m 11s,2h 21m 35.311s,1m 33.488s,297d 11h 49m 20s,143.77623094,125.00005135,287.32880771,-0.2236922943,250.95856249,-0.83078237774
