load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigmaxy,avg_init_sigmaxy,avg_sigmaxy_change_from_init,avg_Pxy,nr_plastic_deformations,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,nr_red_q1_fixed,nr_red_q2_fixed,nr_red_q3_fixed,nr_red_q4_fixed,max_m3_nr,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
716,0.15715,465.4534677,0.0052234941435,465.45347585,-8.1485557075e-06,0.0037236277416,4.1787953148e-08,0.0037236278068,-6.5188445787e-11,0,0,0.21155445538,6.1491351627e-07,-8.3745690909e-05,-8.375862329e-05,1.2932380654e-08,0.015196274248,0,47417,39519,19795,18269,33551,29039,33661,28749,3,3,-1,721,1368,2,0,0,2d 13h 35m 25s,2d 12h 22m 13.981s,1h 11m 47.672s,299d 11h 9m 0s,144.6437313,125.00005135,288.94732503,-0.34017497116,250.88910673,-0.92220809028
717,0.15716,465.45870506,0.0052373558899,465.45871322,-8.1547202058e-06,0.0037236696405,4.1898847119e-08,0.0037236697057,-6.5237761807e-11,0,0,0.21154151993,1.2046187714e-06,-8.3751769106e-05,-8.3765041203e-05,1.3272097111e-08,0.015208745931,1,47430,39506,19797,18267,33554,29036,33673,28737,3,3,-1,626,1032,2,0,0,2d 13h 37m 56s,2d 12h 24m 44.897s,1h 11m 47.672s,299d 5h 57m 30s,144.6449813,125.00005135,288.94982622,-0.34017378116,250.88911008,-0.922190525
718,0.15717,465.46395627,0.005251211204,465.46396441,-8.133582071e-06,0.0037237116502,4.2009689632e-08,0.0037237117152,-6.5068656626e-11,0,0,0.21152948585,5.654277429e-07,-8.3758221902e-05,-8.3771101036e-05,1.2879133863e-08,0.0152212383,0,47452,39489,19797,18262,33563,29026,33686,28725,3,3,-1,703,1307,2,0,0,2d 13h 41m 6s,2d 12h 27m 54.638s,1h 11m 47.672s,299d 2h 3m 1s,144.6462313,125.00005135,288.95232199,-0.34017800772,250.88911775,-0.92217642815
719,0.15718,465.46922134,0.0052650652214,465.46922948,-8.1418439208e-06,0.0037237537707,4.2120521771e-08,0.0037237538358,-6.5134751325e-11,0,0,0.21151708711,5.2198492213e-07,-8.3764172805e-05,-8.3777536346e-05,1.3363541371e-08,0.015233730805,0,47469,39479,19791,18261,33571,29025,33689,28715,3,3,-1,760,1443,2,0,0,2d 13h 45m 39s,2d 12h 31m 24.934s,1h 12m 50.572s,299d 52m 41s,144.6474813,125.00005135,288.95481963,-0.34018036865,250.88912448,-0.9221600433
720,0.15719,465.47450025,0.005278915599,465.47450841,-8.1533007119e-06,0.003723796002,4.2231324792e-08,0.0037237960672,-6.5226405874e-11,0,0,0.21150465347,9.290381499e-07,-8.3770373103e-05,-8.3783468917e-05,1.3095813643e-08,0.015246210452,1,47484,39466,19795,18255,33580,29018,33699,28703,3,3,-1,686,1325,2,0,0,2d 13h 48m 49s,2d 12h 34m 34.701s,1h 12m 50.572s,298d 20h 59m 18s,144.6487313,125.00005135,288.95731839,-0.34018160773,250.88912953,-0.92214506399
721,0.1572,465.47979301,0.0052927603095,465.47980117,-8.1559971363e-06,0.0037238383441,4.2342082477e-08,0.0037238384093,-6.524797716e-11,0,0,0.21149213716,9.9457620363e-07,-8.3775525856e-05,-8.3789649908e-05,1.4124052199e-08,0.015258691403,0,47495,39460,19797,18248,33584,29015,33708,28693,3,3,-1,689,1146,2,0,0,2d 13h 51m 35s,2d 12h 37m 21.050s,1h 12m 50.572s,298d 16h 20m 48s,144.6499813,125.00005135,288.95981687,-0.34018312772,250.88913562,-0.92212885961
722,0.15721,465.48509961,0.0053066019609,465.48510778,-8.1612958525e-06,0.0037238807969,4.2452815687e-08,0.0037238808622,-6.5290366863e-11,0,0,0.21147974943,9.2372695353e-07,-8.3780475033e-05,-8.3794783569e-05,1.4308536747e-08,0.015271153528,0,47513,39449,19797,18241,33595,29005,33715,28685,3,3,-1,682,1346,2,0,0,2d 13h 54m 36s,2d 12h 40m 21.671s,1h 12m 50.572s,298d 12h 10m 57s,144.6512313,125.00005135,288.96231395,-0.34018604764,250.88914265,-0.92211365066
723,0.15722,465.49042005,0.0053204387651,465.4904282,-8.1458474028e-06,0.0037239233604,4.2563510121e-08,0.0037239234256,-6.5166779091e-11,0,0,0.21146738387,5.4864490317e-07,-8.3785046704e-05,-8.3799713999e-05,1.4667294505e-08,0.015283641792,0,47526,39440,19795,18239,33603,28999,33718,28680,3,3,-1,769,1492,2,0,0,2d 13h 58m 9s,2d 12h 43m 54.144s,1h 12m 50.572s,298d 9h 3m 46s,144.6524813,125.00005135,288.96481101,-0.34018898704,250.88915023,-0.92209807167
724,0.15723,465.49575433,0.005334274865,465.49576249,-8.1655654185e-06,0.0037239660346,4.267419892e-08,0.0037239661,-6.5324523568e-11,0,0,0.21145477017,1.2951996761e-06,-8.3790478134e-05,-8.3804266833e-05,1.3788699085e-08,0.015296104299,1,47544,39427,19799,18230,33615,28990,33728,28667,3,3,-1,578,1105,2,0,0,2d 14h 46s,2d 12h 46m 31.552s,1h 12m 50.572s,298d 4h 10m 1s,144.6537313,125.00005135,288.96731395,-0.34018605189,250.8891522,-0.92208348349
725,0.15724,465.50110243,0.0053480974515,465.50111059,-8.1686597468e-06,0.0037240088194,4.2784779612e-08,0.0037240088848,-6.5349278072e-11,0,0,0.2114425517,3.5880779523e-07,-8.3794418596e-05,-8.3809678071e-05,1.5259475223e-08,0.015308568471,0,47556,39412,19804,18228,33620,28982,33740,28658,3,3,-1,791,1361,2,0,0,2d 14h 4m 3s,2d 12h 49m 48.499s,1h 12m 50.572s,298d 33m 52s,144.6549813,125.00005135,288.96980634,-0.34019365786,250.88916449,-0.92206675018
726,0.15725,465.50646435,0.0053619251897,465.50647251,-8.1633534137e-06,0.0037240517148,4.2895401517e-08,0.0037240517801,-6.530682722e-11,0,0,0.2114301814,1.0363797724e-06,-8.3799005066e-05,-8.3813598006e-05,1.459293954e-08,0.015321034919,0,47571,39397,19809,18223,33630,28970,33750,28650,3,3,-1,691,1285,2,0,0,2d 14h 7m 8s,2d 12h 52m 53.641s,1h 12m 50.572s,297d 20h 35m 25s,144.6562313,125.00005135,288.97230498,-0.34019501624,250.88917001,-0.9220522252
727,0.15726,465.5118401,0.0053757449605,465.51184827,-8.1745895386e-06,0.0037240947208,4.3005959684e-08,0.0037240947862,-6.5396716254e-11,0,0,0.21141766994,1.2866480386e-06,-8.3802357522e-05,-8.38181633e-05,1.5805777541e-08,0.015333502855,1,47589,39385,19808,18218,33636,28960,33761,28643,3,3,-1,665,1244,2,0,0,2d 14h 10m 7s,2d 12h 55m 51.931s,1h 12m 50.572s,297d 16h 24m 19s,144.6574813,125.00005135,288.97480322,-0.34019678382,250.88917582,-0.92203806848
728,0.15727,465.51722965,0.0053895573969,465.51723785,-8.1920344428e-06,0.0037241378372,4.3116459176e-08,0.0037241379028,-6.5536275191e-11,0,0,0.21140547806,1.0345659609e-06,-8.3806212278e-05,-8.3821495364e-05,1.5283085875e-08,0.015345941173,3,47604,39373,19807,18216,33641,28956,33770,28633,3,3,-1,704,1186,2,0,0,2d 14h 12m 59s,2d 12h 58m 44.004s,1h 12m 50.572s,297d 12h 1m 53s,144.6587313,125.00005135,288.97729945,-0.34020055007,250.88918587,-0.92202143088
729,0.15728,465.52263302,0.0054033698017,465.52264119,-8.169306966e-06,0.0037241810642,4.3226958413e-08,0.0037241811295,-6.5354455788e-11,0,0,0.21139289372,9.9151816796e-07,-8.3809670168e-05,-8.3825328412e-05,1.5658244102e-08,0.015358407286,0,47623,39360,19805,18212,33646,28945,33782,28627,3,3,-1,627,1184,2,0,0,2d 14h 15m 48s,2d 13h 1m 33.050s,1h 12m 50.572s,297d 7h 34m 19s,144.6599813,125.00005135,288.97979872,-0.34020127958,250.88919187,-0.92200772277
730,0.15729,465.5280502,0.0054171729142,465.52805839,-8.1940460745e-06,0.0037242244016,4.3337383314e-08,0.0037242244671,-6.5552368655e-11,0,0,0.21138067569,1.4014227682e-06,-8.3812730701e-05,-8.3828764323e-05,1.6033621505e-08,0.015370845672,1,47635,39347,19810,18208,33653,28931,33792,28624,3,3,-1,675,1290,2,0,0,2d 14h 18m 39s,2d 13h 4m 23.756s,1h 12m 50.572s,297d 3h 10m 41s,144.6612313,125.00005135,288.98229396,-0.34020604384,250.88920112,-0.92199235102
731,0.1573,465.53348117,0.0054309732039,465.53348935,-8.1851655978e-06,0.0037242678494,4.3447785631e-08,0.0037242679148,-6.548132479e-11,0,0,0.21136853683,8.5753868405e-07,-8.3814991942e-05,-8.3831803041e-05,1.6811098734e-08,0.01538329353,0,47647,39331,19818,18204,33668,28916,33797,28619,3,3,-1,741,1377,2,0,0,2d 14h 21m 56s,2d 13h 7m 41.032s,1h 12m 50.572s,296d 23h 38m 59s,144.6624813,125.00005135,288.98478992,-0.34021008252,250.88921049,-0.92197768241
732,0.15731,465.53892594,0.0054447705641,465.53893413,-8.1905043885e-06,0.0037243114075,4.3558164513e-08,0.003724311473,-6.5524035416e-11,0,0,0.2113559086,3.5623172177e-06,-8.381808554e-05,-8.3834042588e-05,1.595704818e-08,0.015395725951,0,47668,39314,19824,18194,33681,28899,33811,28609,3,3,-1,582,1101,2,0,0,2d 14h 24m 34s,2d 13h 10m 18.559s,1h 12m 50.572s,296d 18h 51m 20s,144.6637313,125.00005135,288.98729155,-0.34020845079,250.88921534,-0.92196363972
733,0.15732,465.5443845,0.0054585555639,465.54439269,-8.1900894884e-06,0.003724355076,4.3668444511e-08,0.0037243551415,-6.5520715589e-11,0,0,0.21134363663,5.2881013699e-07,-8.3819970041e-05,-8.3837113714e-05,1.7143673351e-08,0.015408157824,0,47684,39300,19828,18188,33688,28890,33824,28598,3,3,-1,676,1255,2,0,0,2d 14h 27m 35s,2d 13h 13m 19.366s,1h 12m 50.572s,296d 14h 49m 13s,144.66498131,125.00005135,288.98978519,-0.34021480753,250.88922647,-0.92194786879
734,0.15733,465.54985684,0.0054723415594,465.54986502,-8.1848606897e-06,0.0037243988547,4.3778732475e-08,0.0037243989202,-6.5478885768e-11,0,0,0.21133146538,3.775072442e-07,-8.3821721269e-05,-8.3838976022e-05,1.7254753435e-08,0.015420599602,0,47710,39276,19826,18188,33702,28880,33834,28584,3,3,-1,707,1343,2,0,0,2d 14h 30m 48s,2d 13h 16m 32.794s,1h 12m 50.572s,296d 11h 11m 58s,144.66623131,125.00005135,288.99228052,-0.34021947581,250.88923658,-0.92193398389
735,0.15734,465.55534296,0.0054861202278,465.55535116,-8.2014922782e-06,0.0037244427437,4.3888961822e-08,0.0037244428093,-6.5611938192e-11,0,0,0.21131924966,4.9171106421e-07,-8.382315351e-05,-8.3840704482e-05,1.7550971584e-08,0.015433028989,0,47731,39258,19826,18185,33708,28877,33849,28566,3,3,-1,740,1412,2,0,0,2d 14h 34m 10s,2d 13h 19m 54.881s,1h 12m 50.572s,296d 7h 51m 51s,144.66748131,125.00005135,288.99477688,-0.34022311864,250.88924594,-0.92191985559
736,0.15735,465.56084285,0.0054998927308,465.56085106,-8.2072112377e-06,0.0037244867428,4.3999141846e-08,0.0037244868085,-6.5657689789e-11,0,0,0.21130686022,8.1668151949e-07,-8.3824555561e-05,-8.384211345e-05,1.7557888749e-08,0.015445444219,2,47738,39251,19830,18181,33714,28873,33854,28559,3,3,-1,854,1405,2,0,0,2d 14h 37m 34s,2d 13h 23m 17.913s,1h 12m 50.572s,296d 4h 34m 5s,144.66873131,125.00005135,288.99727216,-0.34022783652,250.88925662,-0.92190537762
737,0.15736,465.56635651,0.0055136601846,465.56636471,-8.1981203834e-06,0.0037245308521,4.4109281477e-08,0.0037245309177,-6.5584962808e-11,0,0,0.21129463938,1.154681352e-06,-8.3825079293e-05,-8.3843490698e-05,1.8411405457e-08,0.015457862786,0,47755,39236,19830,18179,33720,28867,33865,28548,3,3,-1,723,1337,2,0,0,2d 14h 40m 45s,2d 13h 26m 29.236s,1h 12m 50.572s,296d 54m 29s,144.66998131,125.00005135,288.99977013,-0.34022987306,250.88926447,-0.92189134589
738,0.15737,465.57188393,0.0055274206524,465.57189213,-8.2027798953e-06,0.0037245750714,4.4219365219e-08,0.0037245751371,-6.5622239413e-11,0,0,0.21128234188,5.8478241256e-07,-8.3825445199e-05,-8.3843988843e-05,1.854364323e-08,0.015470270975,0,47770,39223,19832,18175,33728,28861,33874,28537,3,3,-1,751,1440,2,0,0,2d 14h 44m 10s,2d 13h 29m 53.944s,1h 12m 50.572s,295d 21h 41m 1s,144.67123131,125.00005135,289.00226578,-0.34023422037,250.88927482,-0.92187697383
739,0.15738,465.57742511,0.0055411777944,465.5774333,-8.1952426285e-06,0.0037246194009,4.4329422356e-08,0.0037246194664,-6.5561941293e-11,0,0,0.21126974505,9.5654168689e-07,-8.3825628978e-05,-8.384432908e-05,1.8700102195e-08,0.015482689716,0,47783,39215,19833,18169,33738,28848,33878,28536,3,3,-1,602,1161,2,0,0,2d 14h 48m 2s,2d 13h 32m 43.165s,1h 13m 53.805s,295d 19h 20m 59s,144.67248131,125.00005135,289.00476562,-0.34023437665,250.88928193,-0.92186412889
740,0.15739,465.58298003,0.0055549225066,465.58298824,-8.213671606e-06,0.0037246638402,4.4439380053e-08,0.003724663906,-6.5709373272e-11,0,0,0.21125778286,9.0752819524e-07,-8.382578388e-05,-8.3844486945e-05,1.8703065841e-08,0.015495090942,0,47801,39202,19839,18158,33750,28837,33890,28523,3,3,-1,688,1291,2,0,0,2d 14h 51m 7s,2d 13h 35m 47.534s,1h 13m 53.805s,295d 15h 29m 46s,144.67373131,125.00005135,289.00725878,-0.34024122354,250.88929406,-0.92184965067
741,0.1574,465.5885487,0.0055686661948,465.58855691,-8.2119918261e-06,0.0037247083896,4.4549329559e-08,0.0037247084553,-6.569593437e-11,0,0,0.21124552075,4.3682248668e-07,-8.3824991388e-05,-8.3844616892e-05,1.962550379e-08,0.015507489346,1,47816,39185,19842,18157,33764,28823,33894,28519,3,3,-1,669,1261,2,0,0,2d 14h 54m 8s,2d 13h 38m 48.915s,1h 13m 53.805s,295d 11h 33m 30s,144.67498131,125.00005135,289.00975501,-0.34024498587,250.88930434,-0.92183590877
742,0.15741,465.5941311,0.0055824024503,465.59413931,-8.2111780557e-06,0.0037247530488,4.4659219602e-08,0.0037247531145,-6.5689424386e-11,0,0,0.21123301023,1.230255461e-06,-8.3824024228e-05,-8.3843799888e-05,1.977565916e-08,0.015519894597,0,47819,39182,19845,18154,33771,28814,33893,28522,3,3,-1,619,1183,2,0,0,2d 14h 56m 58s,2d 13h 41m 38.810s,1h 13m 53.805s,295d 7h 16m 2s,144.67623131,125.00005135,289.01225284,-0.34024715671,250.88931367,-0.92182286721
743,0.15742,465.59972723,0.005596128377,465.59973546,-8.2303813542e-06,0.0037247978178,4.4769027016e-08,0.0037247978837,-6.584305063e-11,0,0,0.21122116026,8.6010919058e-07,-8.3822055332e-05,-8.3842807821e-05,2.0752489493e-08,0.015532282332,1,47833,39177,19841,18149,33775,28809,33899,28517,3,3,-1,761,1432,2,0,0,2d 15h 13s,2d 13h 44m 53.649s,1h 13m 53.805s,295d 3h 46m 33s,144.67748131,125.00005135,289.01474476,-0.34025523575,250.88932782,-0.92180922819
744,0.15743,465.60533708,0.0056098532548,465.60534531,-8.2252461198e-06,0.0037248426967,4.4878826038e-08,0.0037248427625,-6.5801968908e-11,0,0,0.21120870713,1.0321722201e-06,-8.3820747905e-05,-8.3840814854e-05,2.0066948475e-08,0.015544671046,1,47852,39162,19843,18143,33785,28797,33910,28508,3,3,-1,616,1136,2,0,0,2d 15h 2m 56s,2d 13h 47m 36.136s,1h 13m 53.805s,294d 23h 16m 24s,144.67873131,125.00005135,289.01724406,-0.34025594017,250.88933635,-0.92179701704
745,0.15744,465.61096065,0.0056235638968,465.61096888,-8.2380964841e-06,0.0037248876852,4.4988511175e-08,0.0037248877511,-6.5904772091e-11,0,0,0.2111967923,6.8189797242e-07,-8.3818166755e-05,-8.38394824e-05,2.1315644397e-08,0.015557039926,1,47868,39149,19843,18140,33794,28787,33917,28502,3,3,-1,704,1343,2,0,0,2d 15h 6m 9s,2d 13h 50m 49.464s,1h 13m 53.805s,294d 19h 45m 17s,144.67998131,125.00005135,289.01973676,-0.34026323769,250.88934956,-0.92178295224
746,0.15745,465.61659792,0.0056372721261,465.61660614,-8.2260708609e-06,0.0037249327833,4.5098177009e-08,0.0037249328491,-6.5808566929e-11,0,0,0.21118466345,6.5911490443e-07,-8.3815382312e-05,-8.3836877078e-05,2.1494766187e-08,0.015569416064,2,47881,39139,19844,18136,33800,28782,33925,28493,3,3,-1,726,1390,2,0,0,2d 15h 9m 28s,2d 13h 54m 8.135s,1h 13m 53.805s,294d 16h 24m 48s,144.68123131,125.00005135,289.02223137,-0.34026863057,250.88936215,-0.92177018101
747,0.15746,465.62224889,0.0056509717679,465.62225712,-8.2311470351e-06,0.0037249779911,4.5207774143e-08,0.003724978057,-6.5849176372e-11,0,0,0.21117238761,1.2325649799e-06,-8.3812486704e-05,-8.3834068905e-05,2.1582200813e-08,0.015581787102,1,47903,39116,19854,18127,33817,28764,33940,28479,3,3,-1,682,1289,2,0,0,2d 15h 12m 33s,2d 13h 57m 13.447s,1h 13m 53.805s,294d 12h 39m 39s,144.68248131,125.00005135,289.02472714,-0.34027286095,250.8893737,-0.92175734631
748,0.15747,465.62791355,0.0056646621169,465.62792179,-8.2389130966e-06,0.0037250233084,4.5317296936e-08,0.0037250233743,-6.5911304626e-11,0,0,0.21116023163,2.5416470395e-07,-8.3807815488e-05,-8.3831149164e-05,2.3333675594e-08,0.015594146646,1,47923,39100,19855,18122,33823,28756,33955,28466,3,3,-1,775,1493,2,0,0,2d 15h 16m 6s,2d 14h 45.869s,1h 13m 53.805s,294d 9h 46m 10s,144.68373131,125.00005135,289.02722148,-0.34027851717,250.88938607,-0.92174460025
749,0.15748,465.6335919,0.0056783454057,465.63360013,-8.2353508333e-06,0.0037250687352,4.5426763246e-08,0.0037250688011,-6.5882806589e-11,0,0,0.21114811311,3.6711496446e-07,-8.3803818271e-05,-8.3826454339e-05,2.2636068633e-08,0.015606505387,0,47941,39082,19859,18118,33835,28748,33965,28452,3,3,-1,827,1607,2,0,0,2d 15h 19m 41s,2d 14h 4m 20.294s,1h 13m 53.805s,294d 6h 56m 52s,144.68498131,125.00005135,289.02971545,-0.34028454888,250.88939976,-0.92173240152
750,0.15749,465.63928392,0.0056920201167,465.63929216,-8.2401780901e-06,0.0037251142713,4.5536160934e-08,0.0037251143373,-6.5921424569e-11,0,0,0.21113594904,5.4585504486e-07,-8.3798976385e-05,-8.3822433359e-05,2.3456974733e-08,0.015618850658,2,47949,39075,19863,18113,33842,28738,33970,28450,3,3,-1,849,1629,2,0,0,2d 15h 23m 32s,2d 14h 8m 11.171s,1h 13m 53.805s,294d 4h 38m 57s,144.68623131,125.00005135,289.0322097,-0.34029029789,250.8894127,-0.9217204875
751,0.1575,465.6449896,0.0057056870252,465.64499784,-8.2350877051e-06,0.0037251599168,4.5645496201e-08,0.0037251599827,-6.5880701502e-11,0,0,0.21112370148,1.5305628447e-06,-8.3793267196e-05,-8.3817568141e-05,2.4300945524e-08,0.015631191594,1,47959,39072,19865,18104,33849,28730,33975,28446,3,3,-1,647,1056,2,0,0,2d 15h 26m 4s,2d 14h 10m 44.019s,1h 13m 53.805s,293d 23h 55m 2s,144.68748131,125.00005135,289.03470818,-0.3402918195,250.88942327,-0.92170735688
752,0.15751,465.65070895,0.0057193421588,465.65071718,-8.2356053781e-06,0.0037252056716,4.575473727e-08,0.0037252057375,-6.5884843154e-11,0,0,0.21111183211,9.4011206662e-07,-8.378741141e-05,-8.3811834256e-05,2.4422846068e-08,0.015643548956,1,47980,39059,19864,18097,33857,28722,33987,28434,3,3,-1,721,1199,2,0,0,2d 15h 28m 57s,2d 14h 13m 36.692s,1h 13m 53.805s,293d 19h 48m 58s,144.68873131,125.00005135,289.03720123,-0.34029876729,250.88943627,-0.92169694865
753,0.15752,465.65644194,0.0057329911406,465.6564502,-8.2647893578e-06,0.0037252515355,4.5863929125e-08,0.0037252516016,-6.6118314816e-11,0,0,0.21109953921,4.0413006493e-06,-8.3781659754e-05,-8.3805953874e-05,2.4294120508e-08,0.015655880399,1,47984,39057,19866,18093,33860,28719,33990,28431,3,3,-1,635,1231,2,0,0,2d 15h 31m 55s,2d 14h 16m 33.916s,1h 13m 53.805s,293d 15h 52m 7s,144.68998132,125.00005135,289.03969753,-0.34030247151,250.88944849,-0.92168555118
754,0.15753,465.66218856,0.0057466262315,465.66219683,-8.270725175e-06,0.0037252975085,4.5973009852e-08,0.0037252975747,-6.616580157e-11,0,0,0.21108774189,6.7383565022e-07,-8.3774241088e-05,-8.3800176607e-05,2.593551977e-08,0.0156681991,1,47993,39054,19869,18084,33864,28717,33998,28421,3,3,-1,714,1409,2,0,0,2d 15h 35m 17s,2d 14h 19m 56.542s,1h 13m 53.805s,293d 12h 43m 17s,144.69123132,125.00005135,289.0421896,-0.34031040323,250.88946445,-0.92167391808
755,0.15754,465.66794882,0.0057602545738,465.66795708,-8.2662848513e-06,0.0037253435905,4.608203659e-08,0.0037253436567,-6.613027877e-11,0,0,0.21107564878,6.7441439644e-07,-8.3765980305e-05,-8.3792733135e-05,2.6752830043e-08,0.015680513421,2,48006,39037,19878,18079,33879,28704,34005,28412,3,3,-1,767,1310,2,0,0,2d 15h 38m 26s,2d 14h 23m 5.644s,1h 13m 53.805s,293d 9h 9m 42s,144.69248132,125.00005135,289.0446828,-0.34031720484,250.88947999,-0.92166248693
756,0.15755,465.67372269,0.0057738727345,465.67373095,-8.2633420675e-06,0.0037253897815,4.6190981876e-08,0.0037253898476,-6.6106736404e-11,0,0,0.21106361899,1.2217536604e-06,-8.3758267698e-05,-8.3784448031e-05,2.6180333235e-08,0.01569282774,2,48013,39033,19879,18075,33882,28700,34010,28408,3,3,-1,694,1327,2,0,0,2d 15h 41m 35s,2d 14h 26m 14.461s,1h 13m 53.805s,293d 5h 36m 10s,144.69373132,125.00005135,289.04717732,-0.3403226762,250.88949387,-0.92165179042
757,0.15756,465.67951017,0.0057874777397,465.67951844,-8.2760315649e-06,0.0037254360813,4.6299821917e-08,0.0037254361476,-6.6208252856e-11,0,0,0.21105163355,8.4739223516e-07,-8.3748665921e-05,-8.3776711609e-05,2.8045687823e-08,0.015705128011,1,48025,39022,19886,18067,33892,28695,34019,28394,3,3,-1,770,1286,2,0,0,2d 15h 44m 42s,2d 14h 29m 20.681s,1h 13m 53.805s,293d 1h 58m 23s,144.69498132,125.00005135,289.04967075,-0.34032924631,250.88950942,-0.92164092978
758,0.15757,465.68531124,0.0058010733525,465.68531952,-8.275362859e-06,0.0037254824899,4.640858682e-08,0.0037254825561,-6.6202902969e-11,0,0,0.21103965049,6.8289200355e-07,-8.3738884821e-05,-8.3767086197e-05,2.820137555e-08,0.015717428719,0,48040,39007,19886,18067,33897,28684,34029,28390,3,3,-1,743,1451,2,0,0,2d 15h 49m 11s,2d 14h 32m 46.435s,1h 14m 56.842s,293d 54m 34s,144.69623132,125.00005135,289.0521647,-0.34033529919,250.88952397,-0.92163119441
759,0.15758,465.6911259,0.0058146555061,465.69113419,-8.2896753497e-06,0.0037255290072,4.6517244049e-08,0.0037255290735,-6.6317402524e-11,0,0,0.21102767844,6.129791615e-07,-8.3727645069e-05,-8.3757280915e-05,2.9635845577e-08,0.015729711551,0,48056,38996,19888,18060,33905,28679,34039,28377,3,3,-1,775,1467,2,0,0,2d 15h 52m 43s,2d 14h 36m 19.002s,1h 14m 56.842s,292d 22h 6m 35s,144.69748132,125.00005135,289.05465688,-0.34034311703,250.88954078,-0.92162095852
760,0.15759,465.69695412,0.005828226855,465.69696241,-8.2872528537e-06,0.003725575633,4.662581484e-08,0.0037255756993,-6.6298023061e-11,0,0,0.21101576104,1.1469124648e-06,-8.3717226219e-05,-8.3746015838e-05,2.8789618943e-08,0.015742000249,1,48070,38985,19889,18056,33915,28676,34044,28365,3,3,-1,695,1334,2,0,0,2d 15h 55m 52s,2d 14h 39m 28.115s,1h 14m 56.842s,292d 18h 35m 34s,144.69873132,125.00005135,289.05715194,-0.34034805878,250.88955528,-0.92161163048
761,0.1576,465.70279591,0.0058417822106,465.70280422,-8.3121114471e-06,0.0037256223672,4.6734257685e-08,0.0037256224337,-6.6496891327e-11,0,0,0.21100393294,5.5688817284e-07,-8.3703815304e-05,-8.3735571991e-05,3.1756687643e-08,0.015754255942,1,48091,38966,19893,18050,33926,28665,34058,28351,3,3,-1,711,1373,2,0,0,2d 15h 59m 8s,2d 14h 42m 43.652s,1h 14m 56.842s,292d 15h 16m 58s,144.69998132,125.00005135,289.05964418,-0.34035582215,250.88957326,-0.92160138135
762,0.15761,465.70865123,0.0058553265086,465.70865953,-8.297772581e-06,0.0037256692099,4.6842612069e-08,0.0037256692762,-6.6382180568e-11,0,0,0.21099190041,7.5907213531e-07,-8.3690678675e-05,-8.3722135808e-05,3.1457132565e-08,0.015766533461,1,48099,38962,19895,18044,33933,28660,34061,28346,3,3,-1,764,1466,2,0,0,2d 16h 2m 34s,2d 14h 46m 9.580s,1h 14m 56.842s,292d 12h 18m 5s,144.70123132,125.00005135,289.06213677,-0.34036323274,250.88958911,-0.92159319405
763,0.15762,465.71452009,0.0058688534614,465.71452842,-8.3297229025e-06,0.0037257161607,4.6950827691e-08,0.0037257162273,-6.6637782965e-11,0,0,0.21097993412,9.8141360147e-07,-8.3675680738e-05,-8.3708974311e-05,3.329357347e-08,0.015778765939,1,48118,38951,19892,18039,33937,28654,34073,28336,3,3,-1,893,1711,2,0,0,2d 16h 6m 29s,2d 14h 50m 4.461s,1h 14m 56.842s,292d 10h 13m 5s,144.70248132,125.00005135,289.06462853,-0.34037147494,250.88960784,-0.92158484425
764,0.15763,465.72040245,0.0058823676579,465.72041077,-8.3114662175e-06,0.0037257632196,4.7058941263e-08,0.0037257632861,-6.6491729657e-11,0,0,0.21096841694,8.4482143311e-07,-8.3661046889e-05,-8.3693951393e-05,3.2904504628e-08,0.015791020119,0,48131,38944,19895,18030,33950,28643,34076,28331,3,3,-1,720,1341,2,0,0,2d 16h 9m 41s,2d 14h 53m 16.331s,1h 14m 56.842s,292d 6h 49m 9s,144.70373132,125.00005135,289.06712173,-0.34037826732,250.88962566,-0.92157705696
765,0.15764,465.72629832,0.0058958631033,465.72630666,-8.343053139e-06,0.0037258103865,4.7166904826e-08,0.0037258104533,-6.6744425091e-11,0,0,0.21095650683,1.8054285092e-06,-8.3643741474e-05,-8.367929316e-05,3.5551686225e-08,0.015803241898,1,48140,38935,19901,18024,33957,28638,34084,28321,3,3,-1,717,1350,2,0,0,2d 16h 12m 54s,2d 14h 56m 28.934s,1h 14m 56.842s,292d 3h 27m 7s,144.70498132,125.00005135,289.06961486,-0.34038513747,250.88964273,-0.92156869581
766,0.15765,465.73220766,0.0059093411734,465.732216,-8.3439331888e-06,0.0037258576613,4.7274729387e-08,0.003725857728,-6.6751465466e-11,0,0,0.21094461646,3.5687629352e-07,-8.3625411728e-05,-8.3661963117e-05,3.655138877e-08,0.015815454457,1,48151,38925,19901,18023,33959,28631,34093,28317,3,3,-1,819,1380,2,0,0,2d 16h 16m 15s,2d 14h 59m 49.713s,1h 14m 56.842s,292d 20m 36s,144.70623132,125.00005135,289.07210478,-0.3403952186,250.88966338,-0.92156141791
