load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigma11,avg_sigma12,avg_sigma22,avg_init_sigma11,avg_init_sigma12,avg_init_sigma22,avg_sigma12_change_from_init,avg_P11,avg_P12,avg_P21,avg_P22,avg_init_P11,avg_init_P12,avg_init_P21,avg_init_P22,participationFraction,m3_participationFraction,nr_elements_with_m3_fix_change,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,nr_red_q1_fixed,nr_red_q2_fixed,nr_red_q3_fixed,nr_red_q4_fixed,max_m3_nr,sum_m3,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,nr_edge_flips,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
11,0.1501,461.39230308,-0.00027126457792,461.39231202,-8.9341150442e-06,0.0036911384247,-2.1701166233e-09,0.0036911384961,-7.1472920464e-11,0,0,0.19422035724,7.3047552551e-07,0,9.4193583298e-05,0,0,9.4124678154e-05,0,6.8905144318e-08,0,0.01092329636,0,0,0,0,0,0,0,0,2,40565,46222,17809,20404,29065,33420,29309,33206,3,0,3,0,796,1490,0,2,0,0,2h 32m 41s,2h 31m 12.664s,1m 26.453s,530d 12h 28m 21s,143.76262886,124.99985137,287.42634714,-0.098652863543,250.8213435,-1.003345686
12,0.15011,461.39204427,-0.00025881413723,461.39205322,-8.9461414632e-06,0.0036911363542,-2.0705130978e-09,0.0036911364257,-7.1569131697e-11,0,0,0.19422605947,1.7293822017e-06,0,9.4227890787e-05,0,0,9.4159733891e-05,0,6.8156896106e-08,0,0.010934579764,0,0,0,0,0,0,0,0,3,40579,46213,17806,20402,29070,33410,29315,33205,3,0,3,0,778,1481,0,2,0,0,2h 41m 19s,2h 39m 50.468s,1m 26.453s,528d 10h 6m 37s,143.76387885,124.99985137,287.42888251,-0.098617485979,250.82141283,-1.0033248879
13,0.15012,461.3917979,-0.00024636516406,461.39180685,-8.9431580363e-06,0.0036911343832,-1.9709213124e-09,0.0036911344548,-7.1545264071e-11,0,0,0.19423175903,4.691657186e-07,0,9.4261096771e-05,0,0,9.4194063979e-05,0,6.7032791304e-08,0,0.010945855994,0,0,0,0,0,0,0,0,0,40586,46207,17809,20398,29072,33407,29323,33198,3,0,3,0,808,1358,0,2,0,0,2h 49m 47s,2h 48m 18.032s,1m 26.453s,525d 18h 57m 21s,143.76512885,124.99985137,287.43141852,-0.098581477837,250.82148211,-1.0033030226
14,0.15013,461.39156399,-0.00023391704298,461.39157292,-8.9336942892e-06,0.0036911325119,-1.8713363441e-09,0.0036911325834,-7.1469554667e-11,0,0,0.19423752697,4.0487711672e-07,0,9.4294322809e-05,0,0,9.4227293088e-05,0,6.7029721598e-08,0,0.010957144982,0,0,0,0,0,0,0,0,2,40599,46195,17812,20394,29081,33397,29330,33192,3,0,3,-1,787,1510,0,2,0,0,2h 58m 55s,2h 57m 26.102s,1m 26.453s,526d 21h 57m 54s,143.76637885,124.99985137,287.43395523,-0.098544767827,250.82154994,-1.0032813211
15,0.15014,461.39134252,-0.00022147192692,461.39135146,-8.9449193297e-06,0.0036911307401,-1.7717754152e-09,0.0036911308117,-7.1559354796e-11,0,0,0.1942432624,1.9554093396e-07,0,9.4326905964e-05,0,0,9.4260542406e-05,0,6.6363558438e-08,0,0.010968421102,0,0,0,0,0,0,0,0,0,40613,46190,17810,20387,29086,33389,29337,33188,3,0,3,-1,940,1817,0,2,0,0,3h 9m 32s,3h 8m 2.108s,1m 26.453s,534d 12h 28m 43s,143.76762885,124.99985137,287.43648825,-0.098511748022,250.82161869,-1.0032611496
16,0.15015,461.39113349,-0.00020902601932,461.39114243,-8.9365722147e-06,0.0036911290679,-1.6722081545e-09,0.0036911291394,-7.1492577483e-11,0,0,0.19424899272,1.104847525e-06,0,9.4359970469e-05,0,0,9.4293149329e-05,0,6.6821140074e-08,0,0.010979705721,0,0,0,0,0,0,0,0,0,40625,46176,17813,20386,29094,33381,29344,33181,3,0,3,-1,756,1418,0,2,0,0,3h 18m 8s,3h 16m 38.340s,1m 26.453s,532d 14h 51m 12s,143.76887885,124.99985137,287.43902676,-0.098473235474,250.82168904,-1.0032393117
17,0.15016,461.3909369,-0.00019658459951,461.39094585,-8.9493486257e-06,0.0036911274952,-1.5726767961e-09,0.0036911275668,-7.1594789125e-11,0,0,0.194254669,7.5112908943e-07,0,9.4391753112e-05,0,0,9.4326237404e-05,0,6.5515707795e-08,0,0.010990976811,0,0,0,0,0,0,0,0,1,40636,46163,17814,20387,29097,33376,29353,33174,3,0,3,-1,816,1552,0,2,0,0,3h 28m 49s,3h 26m 7.168s,2m 38.357s,539d 3h 17m 44s,143.77012885,124.99985137,287.44156216,-0.098437841754,250.82175547,-1.0032177009
18,0.15017,461.39075276,-0.00018414304157,461.3907617,-8.9421356506e-06,0.0036911260221,-1.4731443326e-09,0.0036911260936,-7.1537085283e-11,0,0,0.19426037534,8.5057429039e-07,0,9.442337807e-05,0,0,9.4358042866e-05,0,6.5335204823e-08,0,0.01100224958,0,0,0,0,0,0,0,0,0,40652,46154,17815,20379,29099,33373,29368,33160,3,0,3,-1,919,1739,0,2,0,0,3h 38m 43s,3h 36m 0.946s,2m 38.357s,541d 22h 55m 31s,143.77137884,124.99985137,287.44409697,-0.098403028393,250.82182413,-1.0031966916
19,0.15018,461.39058106,-0.00017170329107,461.39059,-8.9394894758e-06,0.0036911246485,-1.3736263286e-09,0.00369112472,-7.1515916019e-11,0,0,0.19426602733,1.06413469e-06,0,9.4455248286e-05,0,0,9.4389690299e-05,0,6.5557986417e-08,0,0.011013518899,0,0,0,0,0,0,0,0,0,40666,46146,17819,20369,29107,33367,29378,33148,3,0,3,-1,822,1350,0,2,0,0,3h 47m 3s,3h 44m 20.558s,2m 38.357s,538d 23h 49m 26s,143.77262884,124.99985137,287.44663349,-0.098366507024,250.82189417,-1.0031755598
20,0.15019,461.39042179,-0.00015926473776,461.39043073,-8.9369289071e-06,0.0036911233743,-1.2741179019e-09,0.0036911234458,-7.1495431103e-11,0,0,0.19427175579,7.8357303501e-07,0,9.4487943197e-05,0,0,9.442158398e-05,0,6.6359216698e-08,0,0.011024807909,0,0,0,0,0,0,0,0,1,40680,46139,17817,20364,29110,33363,29387,33140,3,0,3,-1,731,1397,0,2,0,0,3h 55m 30s,3h 52m 47.019s,2m 38.357s,536d 17h 30m 32s,143.77387884,124.99985137,287.44916943,-0.098330572385,250.82196433,-1.0031551845
21,0.1502,461.39027496,-0.00014682886075,461.39028393,-8.9605099447e-06,0.0036911221997,-1.174630886e-09,0.0036911222714,-7.1684079679e-11,0,0,0.19427745948,6.8361641659e-07,0,9.4517383756e-05,0,0,9.4454301988e-05,0,6.3081768468e-08,0,0.011036078401,0,0,0,0,0,0,0,0,0,40698,46121,17823,20358,29118,33351,29403,33128,3,0,3,-1,743,1407,0,2,0,0,4h 4m 4s,4h 1m 20.741s,2m 38.357s,535d 1h 57m 36s,143.77512884,124.99985137,287.45170903,-0.098290970672,250.82203054,-1.0031309603
