load_increment,sample_count,point_count,energy_center_of_mass,rev_u_center_of_mass
1e-06,4,21692,7.444389926578226e-09,5.495871690455105e-06
5e-06,4,23319,5.3587506231795686e-08,1.0209532256902266e-05
1e-05,4,24826,1.5135940533873312e-07,1.0846122363704033e-05
5e-05,4,14086,4.559171380798948e-07,8.270284830508773e-06
0.0001,4,11141,1.0272543180161728e-06,7.122985031469915e-06
