size,regime,feature,feature_label,sample_count,forward_only_pool_count,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,status
50,post,er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),6,4139,765.4692645665444,3748,391,0.22330915742344182,ok
50,post,es_over_dg,Delta E_S/(V0 Delta gamma),6,4139,0.20374757575890382,3778,361,0.056702909452413186,ok
50,post,es_over_dg2,Delta E_S/(V0 Delta gamma^2),6,4139,20374.757575870008,3778,361,0.05670290945241252,ok
50,post,ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),6,4139,0.3039603030307258,3786,353,0.05384311852852902,ok
50,post,ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),6,4139,30396.030303042182,3786,353,0.053843118528528855,ok
50,post,sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,6,4139,0.33495214097348935,3750,389,0.21529689978893435,ok
50,post,sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,6,4139,0.49504145715183195,3751,388,0.12324412770642212,ok
50,post,sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,6,4139,4.09434138579237,3810,329,0.012396577199574432,ok
50,post,er_over_es,abs(Delta E_R)/Delta E_S,6,4139,0.0310145714120384,3684,455,0.01471147889164981,ok
50,post,ei_over_es,abs(Delta E_I)/Delta E_S,6,4139,3.2505538871388575,3642,497,0.0009188749213965286,ok
50,post,sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),6,4139,0.03541178998745322,3317,822,0.0019055415848416857,ok
50,post,sigma_i_over_sigma_s,abs(Delta sigma_I)/abs(Delta sigma_S),6,4139,0.07870819535728835,3274,865,0.053581859685144284,ok
50,post,sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),6,4139,0.18543386656649732,540,3599,0.001922453422489978,ok
50,post,er_over_ei,abs(Delta E_R)/abs(Delta E_I),6,4139,0.07399352396045909,3747,392,2.243706412707507,ok
50,post,er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),6,4139,0.05244392332767123,3747,392,1.949550436999624,ok
50,post,sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),6,4139,0.11505714169060687,366,3773,0.0028418234013649624,ok
50,post,er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,6,4139,4.010850955988745e-06,3774,365,0.02291886133678389,ok
50,post,er_minus_ei,abs(abs(Delta E_R)-abs(Delta E_I))/V0,6,4139,2.728777597027008e-07,3804,335,0.031971376503012294,ok
50,post,er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,6,4139,2.9698791629441776e-06,3769,370,0.05781510071784801,ok
50,post,er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,6,4139,4.6658132760353285e-14,3747,392,3.3352053747136985,ok
50,post,er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,6,4139,1.1705048260805968e-13,3747,392,2.7521928043221227,ok
50,post,ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,6,4139,1.293108822463436e-11,3759,380,0.05339358763523805,ok
50,post,es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,6,4139,7.780220028101083e-11,3777,362,0.06552196691682433,ok
50,post,er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),6,4139,62210.17903249297,3507,632,0.0024773819704391187,ok
50,post,es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),6,4139,2202.830544465818,3456,683,0.004092882067276538,ok
50,post,sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),6,4139,1.60745398189208e-05,632,3507,0.0024773819704391187,ok
