size,runs,pre_mean,post_mean,pre_count,post_count,pre_run_std,post_run_std
50,3,1.0428372611062293e-06,2.852217898043398e-06,164668,83506,1.7441428665647668e-07,1.182821191528042e-06
100,3,1.1048954736187989e-06,1.0839576070107196e-06,198160,55686,7.172164033820063e-08,9.743976762221735e-08
150,6,8.935653133035513e-07,7.489817219226313e-07,296505,209575,1.9040371238510824e-07,5.859260291466671e-07
200,4,8.643533637144334e-07,1.2367341958080452e-07,187186,149065,2.612524316584781e-07,5.5317520530341316e-08
250,3,7.738373808958866e-07,1.5689449014425268e-07,127880,124040,2.487208745399922e-07,1.5551406185953595e-08
