integer_shear,reconnection,local_load,absolute_load,kappa_geo,kappa_mat,kappa_tan
0,edge flip,0.1,0.1,2.45715931505401,1164.8901933429468,1531.2772475333418
0,edge flip,0.2,0.2,2.018786171763159,1229.0593260505743,1449.9950118755605
0,edge flip,0.3,0.3,1.6751839740415186,2786.716182296077,2937.958215969409
0,edge flip,0.4,0.4,1.431627718122552,18210.028828208266,17040.618649528067
0,edge flip,0.5,0.5,1.3333333333333333,30498.295842005606,25222.247085615552
0,edge flip,0.6,0.6,1.4316277181225527,22952.189543396187,17040.618649513555
0,edge flip,0.7,0.7,1.6751839740415189,4322.32969318408,2937.958215968357
0,edge flip,0.8,0.8,2.0187861717631583,2298.58478440889,1449.9950118755633
0,edge flip,0.9,0.9,2.4571593150540116,2614.943664247957,1531.2772475333786
0,no reconnection,0.1,0.1,2.45715931505401,1164.8901933429468,1531.2772475333418
0,no reconnection,0.2,0.2,2.018786171763159,1229.0593260505743,1449.9950118755605
0,no reconnection,0.3,0.3,1.6751839740415186,2786.716182296077,2937.958215969409
0,no reconnection,0.4,0.4,1.431627718122552,18210.028828208266,17040.618649528067
0,no reconnection,0.5,0.5,1.3333333333333333,30498.295842005606,25222.247085615552
0,no reconnection,0.6,0.6,1.4316277181225527,22952.189543396187,17040.618649513555
0,no reconnection,0.7,0.7,1.6751839740415189,4322.32969318408,2937.958215968357
0,no reconnection,0.8,0.8,2.0187861717631583,2298.58478440889,1449.9950118755633
0,no reconnection,0.9,0.9,2.4571593150540116,2614.943664247957,1531.2772475333786
2,edge flip,0.1,2.1,2.457159315054012,1164.8901933429468,1531.2772475333418
2,edge flip,0.2,2.2,2.018786171763158,1229.0593260505743,1449.9950118755605
2,edge flip,0.3,2.3,1.6751839740415198,2786.716182296077,2937.958215969409
2,edge flip,0.4,2.4,1.4316277181225519,18210.028828208266,17040.618649528067
2,edge flip,0.5,2.5,1.3333333333333333,30498.295842005606,25222.247085615552
2,edge flip,0.6,2.6,1.4316277181225525,22952.189543396187,17040.618649513555
2,edge flip,0.7,2.7,1.6751839740415193,4322.32969318408,2937.958215968357
2,edge flip,0.8,2.8,2.0187861717631588,2298.58478440889,1449.9950118755633
2,edge flip,0.9,2.9,2.457159315054011,2614.943664247957,1531.2772475333786
2,no reconnection,0.1,2.1,22.72412724283251,11270.394031291968,6632.152173741823
2,no reconnection,0.2,2.2,26.66863610264817,12288.38526310814,7291.586490908342
2,no reconnection,0.3,2.3,31.168049195062686,30460.547963939738,18574.04892189428
2,no reconnection,0.4,2.4,36.278568850177244,219598.1720732324,137778.97596360132
2,no reconnection,0.5,2.5,42.05955752448385,400899.0015088192,258207.03096655203
2,no reconnection,0.6,2.6,48.5735459955242,318547.9744843569,209943.41074935958
2,no reconnection,0.7,2.7,55.886239841073944,62026.96776704903,41650.72734923699
2,no reconnection,0.8,2.8,64.06652455781601,33424.4727050179,22832.676117670777
2,no reconnection,0.9,2.9,73.18646960552427,37030.88191627612,25891.947527953373
5,edge flip,0.1,5.1,2.457159315054012,1164.8901933429468,1531.2772475333418
5,edge flip,0.2,5.2,2.018786171763158,1229.0593260505743,1449.9950118755605
5,edge flip,0.3,5.3,1.6751839740415198,2786.716182296077,2937.958215969409
5,edge flip,0.4,5.4,1.4316277181225519,18210.028828208266,17040.618649528067
5,edge flip,0.5,5.5,1.3333333333333333,30498.295842005606,25222.247085615552
5,edge flip,0.6,5.6,1.4316277181225525,22952.189543396187,17040.618649513555
5,edge flip,0.7,5.7,1.6751839740415193,4322.32969318408,2937.958215968357
5,edge flip,0.8,5.8,2.0187861717631588,2298.58478440889,1449.9950118755633
5,edge flip,0.9,5.9,2.457159315054011,2614.943664247957,1531.2772475333786
5,no reconnection,0.1,5.1,697.8227003045695,230776.5426473055,204225.05571829792
5,no reconnection,0.2,5.2,755.7928102193865,244897.75653302725,217570.383343402
5,no reconnection,0.3,5.3,817.3909099284932,560452.7253184695,502621.3545382159
5,no reconnection,0.4,5.4,882.7690005341839,3699763.58988289,3353795.600921112
