size,runs,pre_mean,post_mean,pre_count,post_count,pre_run_std,post_run_std
50,3,7.032318996803086e-08,2.557445855977485e-07,163033,79677,4.5848502907162515e-08,2.2878141232726002e-07
100,3,5.233210004819774e-08,1.0437779007107504e-07,144978,106267,5.840930180985034e-08,4.266805523407214e-08
