population,field,delta_gamma,positive_drops,xmin,tail_count,ks_distance_D,exponent_alpha,exponent_alpha_std,p_value,p_value_std,bootstrap_confidence,bootstrap_sets,fit_distribution,xmin_method
irreversible,R,1e-06,1952,8.813472965888952e-08,1757,0.026745359390118018,0.9037829781698845,0.011458943682386636,0.0012,0.01,0.01,2500,truncated_power_law,global_min
irreversible,R,5e-06,1899,9.06699627733104e-08,1744,0.02194331016833917,0.89496124264492,0.011744651047736235,0.0252,0.01,0.01,2500,truncated_power_law,global_min
irreversible,R,1e-05,1848,1.319384842458589e-07,1663,0.02204112617869647,0.8949552430165355,0.012747889364131912,0.0312,0.01,0.01,2500,truncated_power_law,global_min
irreversible,R,5e-05,1634,0.00033560459461050513,180,0.02772634529684448,2.3545612607497257,0.1926740666289374,0.9684,0.01,0.01,2500,truncated_power_law,global_min
irreversible,R,0.0001,1563,8.505195833551146e-08,1493,0.03419694640298743,0.835487768613229,0.012916504016915666,0.0,0.01,0.01,2500,truncated_power_law,global_min
