setting,seed,post_yield,category,category_label,count,q10,median,q90
1e-06,3,True,closing_m3,"closing, $m_3$ change",4528,0.320700652529,0.515789121435,0.5946740110969999
1e-06,3,True,nonclosing_m3,"non-closing, $m_3$ change",224,0.292032545265,0.5385207585,0.614877467465
1e-06,3,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,0,False,no_m3,no $m_3$ change (elastic candidate),38540,0.0899791131125,0.21904156345,0.386482987016
1e-05,0,False,closing_m3,"closing, $m_3$ change",3237,0.101997732758,0.19809032847,0.277617590616
1e-05,0,False,nonclosing_m3,"non-closing, $m_3$ change",207,0.0820349028998,0.20041746033,0.301284448064
1e-05,0,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,0,True,no_m3,no $m_3$ change (elastic candidate),38110,0.18616450897300002,0.25029412916500005,0.48616439619199997
1e-05,0,True,closing_m3,"closing, $m_3$ change",5663,0.193419159954,0.23115220348,0.30190745560000004
1e-05,0,True,nonclosing_m3,"non-closing, $m_3$ change",243,0.193341228142,0.2437353077,0.35626984516400007
1e-05,0,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,1,False,no_m3,no $m_3$ change (elastic candidate),36248,0.0982215534362,0.22387638328999998,0.385198853839
1e-05,1,False,closing_m3,"closing, $m_3$ change",3243,0.10114761729,0.18920906477,0.29446124124600004
1e-05,1,False,nonclosing_m3,"non-closing, $m_3$ change",203,0.0834662744624,0.19397657657,0.30964817518400006
1e-05,1,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,1,True,no_m3,no $m_3$ change (elastic candidate),40724,0.00246807904901,0.21923387779,0.392002993782
1e-05,1,True,closing_m3,"closing, $m_3$ change",5297,0.00061640233923,0.2083393962,0.2991925089220001
1e-05,1,True,nonclosing_m3,"non-closing, $m_3$ change",285,0.0112455117146,0.23022253866,0.347736494094
1e-05,1,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,2,False,no_m3,no $m_3$ change (elastic candidate),44448,0.102637368817,0.21179918737499998,0.359683805291
1e-05,2,False,closing_m3,"closing, $m_3$ change",3486,0.103319828505,0.194156771265,0.26936906235
1e-05,2,False,nonclosing_m3,"non-closing, $m_3$ change",238,0.0875650472608,0.190972873955,0.29263155710800004
1e-05,2,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,2,True,no_m3,no $m_3$ change (elastic candidate),32638,0.012970621639,0.24508262141999998,0.440255029719
1e-05,2,True,closing_m3,"closing, $m_3$ change",4953,0.012492667972800003,0.22840124444,0.29236638570199996
1e-05,2,True,nonclosing_m3,"non-closing, $m_3$ change",237,0.021279650195400002,0.2446893789,0.33993997455400005
1e-05,2,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,3,False,no_m3,no $m_3$ change (elastic candidate),43581,0.11422930484,0.24063531907,0.40024109458
1e-05,3,False,closing_m3,"closing, $m_3$ change",3567,0.12318413718400001,0.22042109169,0.289919724712
1e-05,3,False,nonclosing_m3,"non-closing, $m_3$ change",204,0.10772070186,0.216127652505,0.304185930277
1e-05,3,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,3,True,no_m3,no $m_3$ change (elastic candidate),34112,0.164689264221,0.22735083086500002,0.453541027473
1e-05,3,True,closing_m3,"closing, $m_3$ change",4333,0.171274074438,0.20983028306,0.27422042721400003
1e-05,3,True,nonclosing_m3,"non-closing, $m_3$ change",203,0.17388528077999998,0.22550378752,0.3568503061800002
1e-05,3,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,0,False,no_m3,no $m_3$ change (elastic candidate),39410,0.00158153262259,0.0057607227137499994,0.15364620675199994
0.0001,0,False,closing_m3,"closing, $m_3$ change",395,0.000818487132684,0.0015901110109,0.06606267502140004
0.0001,0,False,nonclosing_m3,"non-closing, $m_3$ change",2326,0.00484849253665,0.044732009284,0.16564560357500002
0.0001,0,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,0,True,no_m3,no $m_3$ change (elastic candidate),40093,0.000942457378682,0.0018512151242,0.005125158244080002
0.0001,0,True,closing_m3,"closing, $m_3$ change",1954,0.0005523879685530001,0.0010982972481,0.0021882778282800008
0.0001,0,True,nonclosing_m3,"non-closing, $m_3$ change",1822,0.0020024921750800002,0.0068845472214,0.04663974273110007
0.0001,0,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,1,False,no_m3,no $m_3$ change (elastic candidate),36535,0.0017651343684399999,0.0089864120575,0.185770333672
0.0001,1,False,closing_m3,"closing, $m_3$ change",370,0.000818071376217,0.00174092691755,0.07608031168360002
0.0001,1,False,nonclosing_m3,"non-closing, $m_3$ change",2351,0.0070097471404,0.095197919219,0.18239202403
0.0001,1,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,1,True,no_m3,no $m_3$ change (elastic candidate),42187,0.00109474198788,0.0024580718457,0.00616913647548
0.0001,1,True,closing_m3,"closing, $m_3$ change",2667,0.0006757195282,0.0014140729762,0.0030084946339800005
0.0001,1,True,nonclosing_m3,"non-closing, $m_3$ change",1890,0.0024940354131999997,0.00729302641765,0.040720445444000004
0.0001,1,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,2,False,no_m3,no $m_3$ change (elastic candidate),42605,0.00204890295046,0.0068252257534,0.16268614567599995
0.0001,2,False,closing_m3,"closing, $m_3$ change",489,0.0010912709558400001,0.0020431507649,0.0282617333232
0.0001,2,False,nonclosing_m3,"non-closing, $m_3$ change",2634,0.00650353942519,0.0651150237135,0.16940741868100007
0.0001,2,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,2,True,no_m3,no $m_3$ change (elastic candidate),36391,0.001564938679,0.0026338702812,0.0062423469249
0.0001,2,True,closing_m3,"closing, $m_3$ change",2324,0.0010655544497000001,0.0016664615374,0.0029689542590400006
0.0001,2,True,nonclosing_m3,"non-closing, $m_3$ change",1557,0.00313042016612,0.0090806152475,0.05238935035420002
0.0001,2,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,3,False,no_m3,no $m_3$ change (elastic candidate),44388,0.0018972395342,0.0064154557483500005,0.17181121313900005
0.0001,3,False,closing_m3,"closing, $m_3$ change",592,0.000980835403775,0.0019390085812499998,0.03881344248349997
0.0001,3,False,nonclosing_m3,"non-closing, $m_3$ change",2837,0.005941906878980001,0.070515527375,0.17762230166
0.0001,3,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
0.0001,3,True,no_m3,no $m_3$ change (elastic candidate),34966,0.00100470783845,0.0016308610378,0.00406170317925
0.0001,3,True,closing_m3,"closing, $m_3$ change",2061,0.00073603532378,0.0010989747115,0.0020984266992
0.0001,3,True,nonclosing_m3,"non-closing, $m_3$ change",1156,0.002068105045,0.0062505155035,0.0417373862565
0.0001,3,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
