setting,seed,post_yield,category,category_label,count,q10,median,q90
5e-06,3,True,no_m3,no $m_3$ change (elastic candidate),76303,0.19400148105999998,0.40498209478,0.602681932544
5e-06,3,True,closing_m3,"closing, $m_3$ change",5121,0.14384875629,0.2594687441,0.37298435695
5e-06,3,True,nonclosing_m3,"non-closing, $m_3$ change",235,0.162921397858,0.30572038642,0.50547661286
5e-06,3,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,0,False,no_m3,no $m_3$ change (elastic candidate),39074,0.0955511474588,0.24665798077,0.38168135703300005
1e-05,0,False,closing_m3,"closing, $m_3$ change",3069,0.0805869182738,0.21957377636,0.356687005092
1e-05,0,False,nonclosing_m3,"non-closing, $m_3$ change",219,0.077205523594,0.20965862453,0.344596289004
1e-05,0,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,0,True,no_m3,no $m_3$ change (elastic candidate),37736,0.180098628735,0.37551107683,0.524823737635
1e-05,0,True,closing_m3,"closing, $m_3$ change",5647,0.139132112946,0.30220942662,0.40440774774400007
1e-05,0,True,nonclosing_m3,"non-closing, $m_3$ change",255,0.187218111842,0.33609016503,0.447439198314
1e-05,0,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,1,False,no_m3,no $m_3$ change (elastic candidate),37419,0.090519509568,0.23683861422,0.39224543318400024
1e-05,1,False,closing_m3,"closing, $m_3$ change",3328,0.0871339931375,0.21764651496,0.36915480475
1e-05,1,False,nonclosing_m3,"non-closing, $m_3$ change",210,0.0859003430482,0.21145605936,0.384959513656
1e-05,1,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,1,True,no_m3,no $m_3$ change (elastic candidate),39394,0.187673976921,0.36805121617500003,0.5295685399780001
1e-05,1,True,closing_m3,"closing, $m_3$ change",5399,0.147293174194,0.29116274982,0.392417832284
1e-05,1,True,nonclosing_m3,"non-closing, $m_3$ change",250,0.1581280903,0.325286411585,0.45886493880900003
1e-05,1,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
