setting,samples,total_avalanche_count,total_exposure,pooled_rate,mean_rate,std_rate,mean_P_av,std_P_av
1e-06,4,1992,3.44,579.0697674418604,579.0697674418606,20.517023671110156,0.0005790697674418605,2.0517023671110164e-05
5e-06,4,1963,3.44,570.6395348837209,570.6395348837209,20.19320328245529,0.002853197674418605,0.00010096601641227614
1e-05,4,1895,3.44,550.8720930232558,550.8720930232558,19.27978042658365,0.0055087209302325585,0.0001927978042658364
5e-05,4,1813,3.44,527.0348837209302,527.0348837209302,35.79400179176637,0.02635174418604651,0.0017897000895883179
0.0001,4,1769,3.44,514.2441860465117,514.2441860465117,30.784686993830135,0.05142441860465116,0.0030784686993830137
