delta_gamma,Delta_E_min_over_volume,alpha,Lambda,KS_distance,positive_avalanche_drops,tail_count,xmin_method
1e-06,6.765896617366707e-09,0.861459054058886,1348.6114267867292,0.02884356864412127,1952,1929,simpleDrop
5e-06,3.2936406921635356e-08,0.8912308896102962,1255.8352030857518,0.02063739640064821,1899,1870,simpleDrop
1e-05,1.01113102294903e-07,0.9281913657956695,1182.2847299858693,0.019306755145311105,1847,1790,simpleDrop
5e-05,2.871163917859576e-07,0.9220624466530463,1130.296629945988,0.02445675660441804,1634,1571,simpleDrop
0.0001,5.828157417454349e-07,0.9515019048522522,983.101823028204,0.031202565319459752,1563,1478,simpleDrop
