setting,samples,total_avalanche_count,total_exposure,pooled_rate,mean_rate,std_rate,mean_P_av,std_P_av
1e-07,4,1979,3.44,575.2906976744187,575.2906976744185,49.02487935472608,0.005752906976744186,0.0004902487935472607
1e-06,4,1895,3.44,550.8720930232558,550.8720930232558,19.27978042658365,0.0055087209302325585,0.0001927978042658364
1e-05,4,1820,3.44,529.0697674418604,529.0697674418606,41.48192323085556,0.005290697674418605,0.00041481923230855534
0.0001,4,16573,3.44,4817.732558139535,4817.732558139535,124.57381827554143,0.048177325581395355,0.0012457381827554136
