setting,method,cut,recorded_cycles,closing_count,nonclosing_count,closing_fraction,log10_gap_at_cut,between_class_variance
1e-07,unbinned_log_otsu,0.000169008481728848,36625,34646,1979,0.9459658703071673,0.9005997835345103,0.8584653476172605
1e-06,unbinned_log_otsu,0.0005938664008776392,37528,35633,1895,0.9495043700703475,0.15521782007160168,0.5695082249640668
1e-05,unbinned_log_otsu,0.0007592652973606341,35599,33779,1820,0.9488749683979887,0.006135778833592287,0.46315098433591206
0.0001,unbinned_log_otsu,2.5006864469579526e-05,27425,10852,16573,0.3956973564266181,0.15514242062473826,2.29661120397725
