setting,method,cut,recorded_cycles,closing_count,nonclosing_count,closing_fraction,log10_gap_at_cut,between_class_variance
1e-06,unbinned_log_otsu,0.0002757314391573753,40842,38850,1992,0.9512266784192743,0.012850664200491302,0.7190149596072862
5e-06,unbinned_log_otsu,0.00047675182735645876,39141,37178,1963,0.9498479854883626,0.05731665075659054,0.5723034481765299
1e-05,unbinned_log_otsu,0.0005938664008776392,37528,35633,1895,0.9495043700703475,0.15521782007160168,0.5695082249640668
5e-05,unbinned_log_otsu,0.00047613462049079765,28973,27160,1813,0.9374244986711766,0.10674986109317652,0.702903118975102
0.0001,unbinned_log_otsu,0.00029746714095865994,22556,20787,1769,0.9215729739315481,0.6264884234985626,0.871296364263829
